,arch,dataset,num_layers,num_hidden,flops,macs,acc_test,gflops
4,JKNet_nodrop,cora,1,64,843682816,421841408,0.851,0.843682816
9,JKNet,citeseer,1,64,3516718848,1758359424,0.778,3.516718848
10,JKNet,cora,1,64,843682816,421841408,0.869,0.843682816
12,JKNet,pubmed,1,64,23665565854,11753224832,0.9,23.665565854
22,GCN_nodrop,citeseer,1,64,3269336436,1634009472,0.754,3.269336436
23,GCN,pubmed,1,64,3192694942,1592502656,0.896,3.192694942
31,GCN_nodrop,cora,1,64,543506432,271753216,0.852,0.543506432
32,JKNet_nodrop,citeseer,1,64,3516718848,1758359424,0.764,3.516718848
51,JKNet_nodrop,pubmed,1,64,23665565854,11753224832,0.901,23.665565854
59,GCN,citeseer,1,64,3269336436,1634009472,0.642,3.269336436
72,GCN_nodrop,pubmed,1,64,3192694942,1592502656,0.742,3.192694942
91,GCN,cora,1,64,543506432,271753216,0.867,0.543506432
0,GCN,citeseer,1,128,6756671220,3377038080,0.766,6.75667122
15,JKNet,cora,1,128,2308515840,1154257920,0.87,2.30851584
19,JKNet_nodrop,citeseer,1,128,7687552512,3843776256,0.789,7.687552512
33,JKNet_nodrop,pubmed,1,128,87388386078,43535136000,0.907,87.388386078
41,GCN_nodrop,pubmed,1,128,7677444894,3831091968,0.891,7.677444894
46,GCN_nodrop,citeseer,1,128,6756671220,3377038080,0.337,6.75667122
53,GCN,pubmed,1,128,7677444894,3831091968,0.899,7.677444894
62,JKNet_nodrop,cora,1,128,2308515840,1154257920,0.866,2.30851584
64,GCN_nodrop,cora,1,128,1175748608,587874304,0.852,1.175748608
68,JKNet,citeseer,1,128,7687552512,3843776256,0.786,7.687552512
78,GCN,cora,1,128,1175748608,587874304,0.863,1.175748608
82,JKNet,pubmed,1,128,87388386078,43535136000,0.913,87.388386078
1,JKNet_nodrop,cora,1,256,7101632512,3550816256,0.867,7.101632512
13,GCN_nodrop,pubmed,1,256,20523464734,10246530560,0.849,20.523464734
20,JKNet,cora,1,256,7101632512,3550816256,0.874,7.101632512
45,GCN,cora,1,256,2706440192,1353220096,0.856,2.706440192
55,GCN,citeseer,1,256,14385455604,7190152704,0.181,14.385455604
60,GCN_nodrop,cora,1,256,2706440192,1353220096,0.859,2.706440192
67,GCN,pubmed,1,256,20523464734,10246530560,0.791,20.523464734
70,JKNet,citeseer,1,256,17991564288,8995782144,0.779,17.991564288
76,JKNet_nodrop,pubmed,1,256,335006144542,167185017344,0.908,335.006144542
79,JKNet,pubmed,1,256,335006144542,167185017344,0.907,335.006144542
88,GCN_nodrop,citeseer,1,256,14385455604,7190152704,0.181,14.385455604
90,JKNet_nodrop,citeseer,1,256,17991564288,8995782144,0.777,17.991564288
2,GCN,cora,4,64,676610048,338305024,0.319,0.676610048
3,JKNet_nodrop,cora,4,64,3740766208,1870383104,0.859,3.740766208
5,GCN,pubmed,4,64,5146097566,2561632640,0.889,5.146097566
28,JKNet_nodrop,citeseer,4,64,6552220416,3276110208,0.77,6.552220416
42,JKNet,cora,4,64,3740766208,1870383104,0.878,3.740766208
48,JKNet,citeseer,4,64,6552220416,3276110208,0.779,6.552220416
65,GCN,citeseer,4,64,3598948980,1797538176,0.356,3.59894898
73,GCN_nodrop,cora,4,64,676610048,338305024,0.319,0.676610048
83,GCN_nodrop,citeseer,4,64,3598948980,1797538176,0.518,3.59894898
85,GCN_nodrop,pubmed,4,64,5146097566,2561632640,0.889,5.146097566
8,GCN_nodrop,citeseer,4,128,8070011124,4031152896,0.736,8.070011124
21,GCN,pubmed,4,128,15460770078,7707611904,0.89,15.460770078
34,JKNet,citeseer,4,128,19645588992,9822794496,0.786,19.645588992
36,GCN,citeseer,4,128,8070011124,4031152896,0.301,8.070011124
37,JKNet_nodrop,citeseer,4,128,19645588992,9822794496,0.78,19.645588992
43,JKNet,cora,4,128,13693034496,6846517248,0.875,13.693034496
52,GCN_nodrop,cora,4,128,1708163072,854081536,0.319,1.708163072
54,JKNet_nodrop,cora,4,128,13693034496,6846517248,0.861,13.693034496
57,GCN_nodrop,pubmed,4,128,15460770078,7707611904,0.704,15.460770078
86,GCN,cora,4,128,1708163072,854081536,0.319,1.708163072
16,GCN,cora,4,256,4836098048,2418049024,0.319,4.836098048
17,GCN_nodrop,citeseer,4,256,19628594676,9806611968,0.744,19.628594676
24,GCN,citeseer,4,256,19628594676,9806611968,0.501,19.628594676
29,GCN,pubmed,4,256,51596194846,25752610304,0.409,51.596194846
40,JKNet,cora,4,256,52232077312,26116038656,0.871,52.232077312
50,GCN_nodrop,pubmed,4,256,51596194846,25752610304,0.408,51.596194846
69,JKNet,citeseer,4,256,65455770624,32727885312,0.784,65.455770624
71,JKNet_nodrop,citeseer,4,256,65455770624,32727885312,0.783,65.455770624
80,GCN_nodrop,cora,4,256,4836098048,2418049024,0.319,4.836098048
93,JKNet_nodrop,cora,4,256,52232077312,26116038656,0.854,52.232077312
7,GCN,cora,16,64,1209024512,604512256,0.319,1.209024512
18,GCN_nodrop,pubmed,16,64,12959708062,6438152576,0.8170000000000001,12.959708062
27,JKNet,cora,16,64,43280859136,21640429568,0.324,43.280859136
30,GCN_nodrop,cora,16,64,1209024512,604512256,0.319,1.209024512
44,JKNet,citeseer,16,64,48129393408,24064696704,0.785,48.129393408
58,JKNet_nodrop,citeseer,16,64,48129393408,24064696704,0.771,48.129393408
75,GCN,pubmed,16,64,12959708062,6438152576,0.512,12.959708062
77,GCN,citeseer,16,64,4917399156,2451652992,0.231,4.917399156
81,GCN_nodrop,citeseer,16,64,4917399156,2451652992,0.321,4.917399156
87,JKNet_nodrop,cora,16,64,43280859136,21640429568,0.837,43.280859136
14,GCN_nodrop,cora,16,128,3837820928,1918910464,0.319,3.837820928
25,GCN,pubmed,16,128,46594070814,23213691648,0.723,46.594070814
47,GCN,citeseer,16,128,13323370740,6647612160,0.231,13.32337074
49,JKNet,citeseer,16,128,185218401792,92609200896,0.787,185.218401792
56,GCN_nodrop,pubmed,16,128,46594070814,23213691648,0.18,46.594070814
61,GCN_nodrop,citeseer,16,128,13323370740,6647612160,0.373,13.32337074
74,JKNet_nodrop,cora,16,128,171038146560,85519073280,0.852,171.03814656
89,JKNet_nodrop,citeseer,16,128,185218401792,92609200896,0.786,185.218401792
92,GCN,cora,16,128,3837820928,1918910464,0.319,3.837820928
6,GCN_nodrop,citeseer,16,256,40601150964,20272449024,0.358,40.601150964
11,GCN,citeseer,16,256,40601150964,20272449024,0.332,40.601150964
26,JKNet_nodrop,citeseer,16,256,726275263488,363137631744,0.79,726.275263488
35,JKNet,citeseer,16,256,726275263488,363137631744,0.784,726.275263488
38,JKNet_nodrop,cora,16,256,679982006272,339991003136,0.849,679.982006272
39,GCN,cora,16,256,13354729472,6677364736,0.319,13.354729472
63,GCN_nodrop,cora,16,256,13354729472,6677364736,0.319,13.354729472
66,GCN,pubmed,16,256,175887115294,87776929280,0.499,175.887115294
84,GCN_nodrop,pubmed,16,256,175887115294,87776929280,0.407,175.887115294
